"tweet","comportamental","fisiologico","psiquico","dhTweet","idUsuario","validadoEspec","idTweet","label"
"Eu só queria não ter nascido nessa porra.","TRUE","FALSE","FALSE","2019-10-15","HeloisaVeronez2","TRUE","5509","2"
"só queria não ter nascido","TRUE","FALSE","FALSE","2019-10-15","Sanntos021","TRUE","5510","2"
"Essa depressao um dia vai me matar","TRUE","FALSE","FALSE","2019-09-30","aninhafernades3","TRUE","3221","2"
"Quero ficar sozinho","TRUE","FALSE","FALSE","2019-10-09","JohnnatanRibas","TRUE","3722","2"
"5:34 da manhã e eu já desisti de viver hj e vcs","TRUE","FALSE","FALSE","2019-10-15","JogaTeuPopozao","TRUE","5266","2"
"acho que secretamente desisti de viver a muito tempo só nao descobri ainda","TRUE","FALSE","FALSE","2019-10-15","httpluma","TRUE","5268","2"
"eu desisti de viver flw","TRUE","FALSE","FALSE","2019-10-14","carrupt5","TRUE","5269","2"
"pouco mais da metade do dia e eu já desisti de viver 97 vezes","TRUE","FALSE","FALSE","2019-10-14","TAILANJA","TRUE","5271","2"
"Meus demônios insistem em me dizer que sou um fracassado todos os dia 
E todos os dias a maior luta é provar que eles tão errados","FALSE","FALSE","TRUE","2019-10-14","DeLun4_BxD","TRUE","4984","3"
"O negócio é que eu não escondo o jogo que sou um fracassado alcoólatra fumante","FALSE","FALSE","TRUE","2019-10-14","RenanFerr_","TRUE","4985","3"
"Eu to com uma depressão do caramba, aí vou e assisto coringa, pqp viu :(","FALSE","FALSE","TRUE","2019-10-09","giseleaccioly1","TRUE","3697","3"
"to desanimado demais, meu deus.","FALSE","FALSE","TRUE","2019-10-12","justizidoro","TRUE","3931","3"
"Tô desanimado demais 😔","FALSE","FALSE","TRUE","2019-10-12","Ptkcrvg16","TRUE","3932","3"
"Tô desanimado de tudo d vdd😪","FALSE","FALSE","TRUE","2019-10-12","EdsonJn68896816","TRUE","3933","3"
"no, to desanimado pra tudo","FALSE","FALSE","TRUE","2019-10-12","_katahiraah","TRUE","3935","3"
"Mano não é possível, são quase 6h da manhã de domingo mano e eu tô acordado...o que que eu fiz pra merecer isso","FALSE","TRUE","TRUE","2019-10-13","jaofelipe06","TRUE","4551","1"
"que dia bosta só decepção  quero só chegar em casa e ficar no meu quarto escuro triste p caralho","TRUE","FALSE","TRUE","2019-10-09","alexlucaas","TRUE","3717","2"
"Krlh fudi meu horário, to desanimado pra sair de casa ou pra chama gente aq, feriado ta bem bosta","TRUE","FALSE","TRUE","2019-10-12","Gabriel72461316","TRUE","3934","2"
"8 semaninhas praquilo q começa com f isso mesmo FERIAS","FALSE","FALSE","FALSE","2019-10-15","brudesonida","TRUE","5568","0"
"@WezaMello Tiveste um mês de férias vai gozar","FALSE","FALSE","FALSE","2019-10-15","AGoncalves1998","TRUE","5571","0"
"Eu só quero férias irmão","FALSE","FALSE","FALSE","2019-10-15","kyarahessmann","TRUE","5574","0"
"Só quero férias","FALSE","FALSE","FALSE","2019-10-15","vivi9378","TRUE","5575","0"
"crl quero férias","FALSE","FALSE","FALSE","2019-10-15","Luizaniet","TRUE","5576","0"
"É pedir demais gostar de estudar humanas e linguagens? Não aguento maisss quero férias","FALSE","FALSE","FALSE","2019-10-15","Nicolecoimbrasm","TRUE","5577","0"
"QUER PRECISO                 de férias NECESSITO","FALSE","FALSE","FALSE","2019-10-15","danielasb_5","TRUE","5578","0"
"O que leva as pessoas a falarem com você, te dar atenção, despertar interesse. Mas, depois simplesmente pararem de responder, de falar com você sem dar uma explicação?","FALSE","FALSE","FALSE","2019-10-02","yukepokl","TRUE","3464","0"
"marilia pera e fernanda montenegro numa versão brasileira de grace and frankie um sonho perdido","FALSE","FALSE","FALSE","2019-10-15","saffirdf","TRUE","5136","0"
"Quando me vê na rua, prfv me atropelem","TRUE","FALSE","FALSE","2019-10-15","brhuOli","TRUE","5598","2"
"to na pista      me atropelem ihul","TRUE","FALSE","FALSE","2019-10-15","MariaCZeni","TRUE","5599","2"
"As vezes cê vê um caminhão enorme vindo na rua e pensa logo em se jogar embaixo dele Mas sla vida que segue a pessoa nunca deixa vc fazer isso","TRUE","FALSE","FALSE","2019-10-15","LucasSSOARES001","TRUE","5602","2"
"sla já to meio cansado de td.","TRUE","FALSE","FALSE","2019-10-14","meeneezes1","TRUE","5603","2"
"Tão cansado de td...","TRUE","FALSE","FALSE","2019-10-15","themestrre","TRUE","5605","2"
"@melmalevola eu n to deixando as coisas descarrilharem completamente pelo menos nsdkj eu só tô mt mt cansado de td recentemente aí às vezes dá ruim","TRUE","FALSE","FALSE","2019-10-15","hebitsukais","TRUE","5606","2"
"Cansado de td e de tds...","TRUE","FALSE","FALSE","2019-10-14","Guiillherrmeee","TRUE","5608","2"
"vou escutar as opening de naruto pra ver se me animo,","FALSE","FALSE","TRUE","2019-10-15","littlepinocchi","TRUE","5154","3"
"sao 10 horas da manha e meu dia ja ta um CU eh serio o que que eu fiz pra merecer isso","FALSE","FALSE","TRUE","2019-10-12","juliakkjl","TRUE","4561","3"
"o que que eu fiz pra merecer essas coisas","FALSE","FALSE","TRUE","2019-10-11","nathaliarabel","TRUE","4562","3"
"Sem ânimo pra conversar, normal inclusive","FALSE","FALSE","TRUE","2019-10-12","Tacianevv","TRUE","3830","3"
"sem ânimo pra ler nem ver nada, vo ver vídeos randons no youtube, booktubers me salvem","FALSE","FALSE","TRUE","2019-10-12","hakyeonni","TRUE","3831","3"
"Sem ânimo nenhum p esse natal/ano novo","FALSE","FALSE","TRUE","2019-10-12","ThiagoAssisTh","TRUE","3832","3"
"Queria ter ânimo pra sair, beber umas cervejas. Mas sem condições, hoje eu estou só o pó 😴😴","FALSE","FALSE","TRUE","2019-10-12","yasminbia72","TRUE","3833","3"
"É uma bosta não ser bonita; não quero mais sair de casa porque nada fica bom em mim, nam","TRUE","FALSE","TRUE","2019-10-12","Gabriellanscm","TRUE","3962","2"
"Não quero mais sair hoje","TRUE","FALSE","TRUE","2019-10-12","jurodrgues","TRUE","3960","2"
"O meu Kkkkkkkkkkkkkkkk, não quero mais sair","TRUE","FALSE","TRUE","2019-10-12","bruna_santoss1","TRUE","3963","2"
"Cansado de td e sem vontade p nada","TRUE","FALSE","TRUE","2019-10-15","fltucrl","TRUE","5609","2"
"cansada de td","TRUE","FALSE","TRUE","2019-10-15","lena_pig","TRUE","5610","2"
"to tão cansada de td","TRUE","FALSE","TRUE","2019-10-15","ataldasophix41","TRUE","5611","2"
"ultimamente eu to cansada de td e de tds","TRUE","FALSE","TRUE","2019-10-15","_natresende_","TRUE","5612","2"
"Preciso de férias,a escola deixa me esgotada💔","FALSE","FALSE","FALSE","2019-10-15","Biancaa_Duartee","TRUE","5582","0"
"preciso de férias e me isolar na roça por um tempo","FALSE","FALSE","FALSE","2019-10-15","sapataogrey","TRUE","5583","0"
"Cap Uerj eu preciso de férias pfv faça isso por mim","FALSE","FALSE","FALSE","2019-10-15","evedptx","TRUE","5584","0"
"Eu preciso de férias","FALSE","FALSE","FALSE","2019-10-15","marianaaetp","TRUE","5585","0"
"@starwbts essa música é maravilhosa, assim como todas as músicas deles💜","FALSE","FALSE","FALSE","2019-10-15","MochiKo32243917","TRUE","5150","0"
"podia ter como silenciar as músicas no story","FALSE","FALSE","FALSE","2019-10-15","juavelinog","TRUE","5151","0"
"to MT cansada de td pprt","TRUE","FALSE","TRUE","2019-10-15","brunaxzd1","TRUE","5618","2"
"ai to cansada de td alguem me mata","TRUE","FALSE","TRUE","2019-10-15","jhenkayane","TRUE","5619","2"
"tô cansada de td até de viver sério","TRUE","FALSE","TRUE","2019-10-15","__sousa_mih","TRUE","5620","2"
"eu amo d+ minhas músicas antigas, parabéns aos meus pais pelo gosto e repassar isso p mim","FALSE","FALSE","FALSE","2019-10-15","sabrinasouzarr","TRUE","5152","0"
"domingo é o dia q eu acordo sem vontade de comer nada, mds","FALSE","TRUE","FALSE","2019-10-13","jmsowhat","TRUE","4576","1"
"qnd a pessoa tenta se matar n é pq ela quer morrer, ela só quer acabar com o sofrimento de uma vez","TRUE","FALSE","FALSE","2019-10-14","Paullinha_Sants","TRUE","5547","2"
"@monark O objetivo é ver quem tem coragem pra acabar com o sofrimento de estar vivo mais rápido","TRUE","FALSE","FALSE","2019-10-15","netoaldo1104","TRUE","5549","2"
"eu: reclamando como atual indústria musical é focada no lucro, vendendo músicas sem sal e o quanto artistas de real talento são jogados para escanteio, sem uma divulgação decente 
also eu: com ciúmes das minhas musiquinhas","FALSE","FALSE","FALSE","2019-10-15","lyricalemosoul","TRUE","5153","0"
"Arthur: Tu quer cozinhar ou lavar louça hoje 
O que eu pensei: eu queria era morrer logo, acabar com o sofrimento dessa vida infeliz do cacete. INFEEEEEERRRNOOOOOO! (Carminha screaming 
O que eu disse: cozinhar.","TRUE","FALSE","FALSE","2019-10-14","Vladi_Snow","TRUE","5550","2"
"As xx paro p pensar e caralho, preciso aproveitar mais mh vida, td final d semana eu só penso em ficar em casa","TRUE","FALSE","FALSE","2019-10-11","yaasilva013","TRUE","5004","2"
"tão cansada de td","TRUE","FALSE","TRUE","2019-10-15","lo_vieiraa7","TRUE","5621","2"
"@dannlelis Que triste,  o suicida ele não quer morrer, ele quer acabar com o sofrimento,  com a dor dele e das pessoas que ele pensa está fazendo sofrer Ouvi isso de um pai que perdeu seu único filho para a depressão e o suicídio, não devemos julga-los nunca.","TRUE","FALSE","TRUE","2019-10-15","aasantonia","TRUE","5544","2"
"Depressão é uma doença muito triste, vc pode conviver com a pessoa, sorrir, zoar mas nunca vai saber o dia ruim, o dia que ela fala p ela mesmo “vou me matar p acabar com o sofrimento” porra, é desesperador conversar com alguém q n tem mais esperança manda vida","TRUE","FALSE","TRUE","2019-10-15","CRF_Mari","TRUE","5545","2"
"Fora que eu olho no espelho e penso, ""pq eu não bato a cabeça ali pra acabar com o sofrimento?"", eu olho pra faca da comida e penso, ""pq alguém não me mata logo?"". Mas assim, me desculpa mesmo quem me ""ama"", mas eu me sinto totalmente inútil.","TRUE","FALSE","TRUE","2019-10-15","Salesflopflop","TRUE","5546","2"
"Não tenho valor de existência Não tenho sentido de viver.","TRUE","FALSE","TRUE","2019-10-12","Davi_0014","TRUE","3995","2"
"Acordei sem vontade de socializar hj acho q vou beber uma pra melhorar o humorzin","TRUE","FALSE","TRUE","2019-10-13","itsnataxa","TRUE","4575","2"
"Minhas amigas estão me chamando pra ir a baladinha sábado e eu só penso em ficar em casa, credo kkkk","TRUE","FALSE","FALSE","2019-10-10","dessacarol17","TRUE","5006","2"
"o que aconteceu com o meu eu jovem cara ??? só penso em ficar em casa e arrumo desculpas pra não sair pra lugar nenhum","TRUE","FALSE","FALSE","2019-10-11","roblindoo","TRUE","5007","2"
"@eufelpe Sou velha pq só penso em ficar em casa e comer","TRUE","FALSE","FALSE","2019-10-09","_lucds","TRUE","5008","2"
"ok estou muito triste estou indo ouvir sza pra ficar pior","FALSE","FALSE","TRUE","2019-09-18","carolxres","TRUE","2546","3"
"Viva porém sem vontade de fazer nada e com um quarto inteiro p arrumar","FALSE","FALSE","TRUE","2019-10-13","louiseocorrea","TRUE","4573","3"
"sou um inútil, sério","FALSE","FALSE","TRUE","2019-10-12","luanchrorno","TRUE","3981","3"
"eu sou um inútil","FALSE","FALSE","TRUE","2019-10-12","_pedrohenriqued","TRUE","3982","3"
"Sou um inútil :)","FALSE","FALSE","TRUE","2019-10-12","miguel_rocha19","TRUE","3983","3"
"@thehiston o sonho me deixou, mas a culpa é minha","FALSE","FALSE","TRUE","2019-10-12","lanascin","TRUE","3986","3"
"Amo perceber que não tenho valor para as pessoas K","FALSE","FALSE","TRUE","2019-10-12","thayteretetei","TRUE","3992","3"
"eu fui tentar escutar música pra não pensar mais nisso e o Spotify toca justo a música q tocou no dia q eu fiquei mal","FALSE","FALSE","FALSE","2019-10-15","stegrinberg","TRUE","5162","0"
"Acho que fiquei velho, só penso em ficar em casa e dormir","TRUE","TRUE","FALSE","2019-10-13","Jonaathaan02","TRUE","4999","1"
"Mó vibe de escutar música antiga","FALSE","FALSE","FALSE","2019-10-15","dsilvagu","TRUE","5163","0"
"@diego_lo2039 @Tiago2918 @davialcolumbre ""fodasse o PSL"" (SIC) 
PSL é o comunista da vez... o gado vai aprendendo com o seu mestre a fuzilar quem atrapalha o caminho... a jogar a culpa em quem foi parceiro e cúmplice 
Olha a máfia!!","FALSE","FALSE","FALSE","2019-10-15","EllaBrazilian","TRUE","5177","0"
"Faltam 13 jogos! Não podemos jogar a toalha... é melhor sofrer agora e confiarmos, do que passar pelo calvário da B. Vou (vamos) na fé!","FALSE","FALSE","FALSE","2019-10-15","dalberoliveira","TRUE","5178","0"
"Não dormi nd e n consigo dormir mais😤😤","FALSE","TRUE","FALSE","2019-10-15","gabriel_tdq2","TRUE","5187","1"
"n consigo dormir des das 3h, q saco","FALSE","TRUE","FALSE","2019-10-15","FerrazAdri_","TRUE","5190","1"
"Ta rolando churrasco no meu cunhado e só penso em ficar em casa e dormir, qq tá acontecendo","TRUE","TRUE","FALSE","2019-10-13","kamscristina_","TRUE","5000","1"
"eu to muito cansada de td","TRUE","FALSE","TRUE","2019-10-15","vimolinna","TRUE","5613","2"
"To cansada de td, queria fica na praia o dia todo sem fazer nada, lendo meus livros, fumando, bebendo e comendo","TRUE","FALSE","TRUE","2019-10-15","biancanardini12","TRUE","5614","2"
"problemas na escola, problemas dentro de mim e agora terei problemas em casa tbm e ja tô tao cansada de td isso","TRUE","FALSE","TRUE","2019-10-15","ApenasUmBolinho","TRUE","5615","2"
"minha cabeça tá a milhão e eu n consigo + dormir, q sacooooo","FALSE","TRUE","FALSE","2019-10-15","tefanyse","TRUE","5191","1"
"ta, eu n consigo dormir dnv","FALSE","TRUE","FALSE","2019-10-15","figueireddoliv","TRUE","5193","1"
"miúdo sono e n consigo dormir, boa","FALSE","TRUE","FALSE","2019-10-15","anadosantos01","TRUE","5194","1"
"Cansado de td 😴","TRUE","FALSE","FALSE","2019-10-15","LCSilv4a","TRUE","5607","2"
"eu hj atravessando a rua em frente à unit me peguei pedindo ao universo para um carro me atropelar e acabar com o meu sofrimento... é cada coisa viu K K K porém queria","TRUE","FALSE","FALSE","2019-10-15","claradeldrama","TRUE","5558","2"
"fds estou todo na merda , venham cá abater me e acabar com o meu sofrimento","TRUE","FALSE","FALSE","2019-10-15","hugocravas","TRUE","5560","2"
"to tão cansada de td😔  Deus me leve pf","TRUE","FALSE","TRUE","2019-10-15","marianancorrea","TRUE","5616","2"
"Estou mm cansada de td","TRUE","FALSE","TRUE","2019-10-15","itstamiress","TRUE","5617","2"
"Eu só queria que esse algo, desaparecesse e me deixasse acabar com o meu sofrimento... https://t.co/KvK4jaOrQb","TRUE","FALSE","FALSE","2019-10-07","RCSantos_7","TRUE","5563","2"
"to com vontade de afundar o carro em um poste e acabar com o meu sofrimento","TRUE","FALSE","FALSE","2019-10-07","antropofagismo","TRUE","5564","2"
"Não aguento mais me foder alguém poderia me atropelar com um caminhão hoje por favor pra acabar com o meu sofrimento","TRUE","FALSE","FALSE","2019-10-10","Vitoria_bezerra","TRUE","5565","2"
"@brunolasco Eu toda sexta-feira. Vontade de sair mas falta de disposição.","FALSE","FALSE","TRUE","2019-10-12","MarizDanilo","TRUE","4020","3"
"@dandp0s infelizmente sou razergirl mas por falta de disposição e necessidade de gastar dinheiro com equip hj (tenho usado mais o Xbox e ainda assim é raríssimo)","FALSE","FALSE","TRUE","2019-10-12","holdon2urheart","TRUE","4022","3"
"Pai tira essa falta de ânimo de mim","FALSE","FALSE","TRUE","2019-10-11","letconfusa","TRUE","4027","3"
"Esse é meu último tweet sendo louca, tá migues? Amanhã já vou tá normal, livre da depressão, ansiedade, insônia, humor instável e todas as merdas que me acompanham :)","FALSE","TRUE","TRUE","2019-10-07","GiuliaRsilva","TRUE","4045","1"
"preocupada pq descuidei um monte da alimentação nos ultimos 2 meses e faz umas 3 semanas que n tomo as vitamina to começando a sentir um sono fodidasso de novo e a perder peso, fora o humor instável que tá acabando cmg","FALSE","TRUE","TRUE","2019-10-08","bymlzs","TRUE","4049","1"
"doideira que nos meus aniversários passado eu queria me arrumar toda pra ficar em casa e agora eu só quero ficar de boa no meu pijama curtindo com as pessoas que eu gosto","FALSE","FALSE","FALSE","2019-10-09","gadotstars","TRUE","3715","0"
"@vaidesmaiar No caso dessa lista ai eles quiseram trair e formar casal no reality, a Hariany eu pelo menos não vi demonstrar interesse nenhum pelo Lucas e vejo ela sempre pegar foto do namorado, citar que namora e etc, por isso nesse caso da Hariany acho sem noção demais.","FALSE","FALSE","FALSE","2019-10-02","BubuComments","TRUE","3465","0"
"Pessoal fala como se só gostar de pessoas pretas fosse 7 maravilhas Ta lá a pessoa branca demonstrando interesse, te chamando pra sair, pra ver um Netflix e vc ""sem tempo irmão A pretinha manda um ""oi"" já fico todo besta ouvindo Farol das estrelas","FALSE","FALSE","FALSE","2019-10-02","_cosmu","TRUE","3466","0"
"@_SilvAAndre Aí que ta o dilema né? Swift é mais fácil de aprovar, mas Native é mais fácil de atingir mais pessoas por incluir integração com Android. Eu nao sou desenvolvedor, portanto lhe pergunto: Vc é? e se sim, qual prefere? Sei que depende do projeto, mas generalizando. :)","FALSE","FALSE","FALSE","2019-10-15","realCarva","TRUE","5139","0"
"Desenvolvedor C# (P205TS)  https://t.co/wzwUfd2U66","FALSE","FALSE","FALSE","2019-10-15","empregojusto","TRUE","5140","0"
"Professor, te desejo um salário de deputado e um prestígio de jogador de futebol.","FALSE","FALSE","FALSE","2019-10-15","danillotrix","TRUE","5141","0"
"inferno de aleatório que tocou a música errada e me fez tomar uma decisão impulsiva","FALSE","FALSE","FALSE","2019-10-15","wholuska","TRUE","5146","0"
"Ando trabalhando demais preciso de férias 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘","FALSE","FALSE","FALSE","2019-10-15","Keilasnunes","TRUE","5579","0"
"Eu preciso de férias, real oficial","FALSE","FALSE","FALSE","2019-10-15","taiszeidaa","TRUE","5580","0"
"Já tem uns 4 dias q só consigo dormir essa hr n aguento mais","FALSE","TRUE","FALSE","2019-10-15","BrunovilaDeSou1","TRUE","5199","1"
"Namoral to puta, eu n consegui dormir pq eu so consigo dormir dps queu falo na cara de gente falsa o que ela merece","FALSE","TRUE","FALSE","2019-10-15","plenalaicali","TRUE","5204","1"
"Vou confessar que hoje eu queria tomar uma caixinha de Heineken comer um salaminho com queijo e limão e fumar um narga... Porém eu tô desanimado pra fazer qualquer coisa nessa última semana... Só fico pensando onde eu errei e blá blá blá","FALSE","FALSE","TRUE","2019-10-12","leoooliveirah","TRUE","3937","3"
"Já tô desanimado de sair já pqp","FALSE","FALSE","TRUE","2019-10-12","leobeatto","TRUE","3938","3"
"Minha internet tá foda não quero mais sair","TRUE","FALSE","TRUE","2019-10-12","AndrezinhaDoPop","TRUE","3964","2"
"se você sente vontade chorar e coloca (sem motivo), se você está muito sensível ultimamente e se chatear por tudo, se vc tá sem vontade pra nada, se você sente vontade cada vez mais de estar sozinho ou sem fome pra nada e se sente mais irritado que o normal Procure um psicólogo.","FALSE","TRUE","TRUE","2019-10-02","lovelyworId","TRUE","3615","1"
"eu reclamo que não saio e quando tenho uma oportunidade de sair eu desanimo e quero ficar em casa (???)","TRUE","FALSE","TRUE","2019-10-12","barcelosyass","TRUE","3956","2"
"meus pais acabam com minha sanidade mental depois perguntam pq eu nao quero mais sair com eles","TRUE","FALSE","TRUE","2019-10-12","yaaszz_menezes","TRUE","3966","2"
"me arrumei gastei maquiagem e agr to triste e não quero mais sair","TRUE","FALSE","TRUE","2019-10-12","KarinaManson666","TRUE","3961","2"
"Depois de uns acontecimentos aí to desanimado pra crl de prosseguir como dj","FALSE","FALSE","TRUE","2019-10-12","DjVillelaofc","TRUE","3939","3"
"Óia já lavei o banheiro, ajeitei a tv e... só Sinceramente eu sou um inútil","FALSE","FALSE","TRUE","2019-10-12","riosriverrios","TRUE","3979","3"
"sem animo pra continuar vivendo","TRUE","FALSE","TRUE","2019-09-19","thalisson_hm","TRUE","2910","2"
"Tô desanimado, pensando em ficar em casa hj😪","TRUE","FALSE","TRUE","2019-10-12","menorJota02","TRUE","3940","2"
"Preciso de férias bem longe daqui","FALSE","FALSE","FALSE","2019-10-15","bazalogo","TRUE","5581","0"
"🎮 Favorito: Final Fantasy Tactics Melhor história: Persona  Mais bonito: AC Odysse Clássico que nunca joguei: Metroi Queria ser bom: Overwatc Queria curtir: The Last of U Ruim, mas amo: Dynasty Warriors Preciso de férias pra jogar: Fire Emblem 3 Houses (New Game+, rs) https://t.co/cIiYi5kluy","FALSE","FALSE","FALSE","2019-10-15","pedrostudart","TRUE","5586","0"
"@jpmotaaa Eu preciso de férias! Urgente","FALSE","FALSE","FALSE","2019-10-15","famillyowned","TRUE","5587","0"
"Preciso de férias e viajar pra um lugar bem louco","FALSE","FALSE","FALSE","2019-10-15","rmilgrauz","TRUE","5588","0"
"Dia onde aconteceu uma pá de coisa errada por distração minha... 🤦🏻
♀️🤦🏻
♀️🤦🏻
♀️ Preciso de férias!!! E que essa gripe vá embora logo pq tá me deixando mais doida do que já sou... 🤪🤪🤪🤓","FALSE","FALSE","FALSE","2019-10-15","AnaKZan","TRUE","5589","0"
"@exorcirst Até agora pra mim a obra tá fantástica, surpreendente de mais","FALSE","FALSE","FALSE","2019-10-09","SromaKun","TRUE","5590","0"
"todos os dias eu agradeço a coreografia de mic drop e as roupas da Dior pela obra de arte que é esse break dance 
https://t.co/n3hYUxhPnq","FALSE","FALSE","FALSE","2019-10-15","morphyoongi","TRUE","5591","0"
"@gisleidepereir6 Vc parece q tem a pela clara ...deve ficar vermelha rápido... "" tenho uma técnica, vou pra água e sol ...até ficar bronze.. faz um tempo q não vou ...","FALSE","FALSE","FALSE","2019-10-13","claudiosttos","TRUE","5592","0"
"@viniciusvietro Da pra desistir sim kk muita água e sol que te cozinha tudo.. Deus me livre","FALSE","FALSE","FALSE","2019-10-13","PeJonasBarbosa","TRUE","5593","0"
"Saudades de água e sol e cerveja e menos barriga! https://t.co/0CYRCTE0by","FALSE","FALSE","FALSE","2019-10-15","fecamppos","TRUE","5594","0"
"O bom é que mesmo só na água e sol ela vem 🥰😊🌞🌞🌞 https://t.co/KQmA6pwKUs","FALSE","FALSE","FALSE","2019-10-14","tefinhabrancaa","TRUE","5595","0"
"ossada ter um domingo no meu sábado, to desanimado","FALSE","FALSE","TRUE","2019-10-12","1977_carvalho","TRUE","3942","3"
